ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
                                                                                      
1       1        50070-PL          revenge from mars-playfield                       1
2       .2       A-12030-3         jet bumper-leaf sw assy                           3
3       ..3      A-16443-1         jet bumper sw & diode assy                        3
4       ...4     SW-11A-37-1       switch-jet bumper                                 3
5       ....5    A-8198            blade & contact assy                              3
6       .....6   06-1-14           blade-contact                                     3
7       .....6   5860-09374-00     cp prec met 7309fs                                3
8       ....5    A-8199            blade & contact assy                              3
9       .....6   06-68D-8          blade-contact                                     3
10      .....6   5860-09374-00     cp prec met 7309fs                                3
11      ....5    01-916-Q          "spacer- 1/64"""                                  3
12      ....5    01-916-H          "spacer- 3/32"""                                  9
13      ....5    01-916-S          "spacer-tight 1/16"""                             6
14      ....5    03-7007-7A        "tubing 15/32"" LONG"                             6
15      ....5    06-17             blade-side lug                                    3
16      ....5    06-21B-12         blade-contact                                     3
17      ...4     5070-09054-00     diode-1N4004 1.0a                                 3
18      ..3      01-1168           brkt bumper switch mounting                       3
19      ..3      01-3670           plate-switch curved                               3
20      ..3      03-7395           switch actuator                                   3
21      ..3      4005-01003-12     ms 5-40x3/4 p-phs                                 6
22      ..3      4405-01117-00     nut 5-40 hex                                      6
23      .2       A-12753-2         lug & diode assy                                  2
24      ..3      23-6716-2         "tubing-clear 1 1/2"""                            2
25      ..3      5070-09054-00     diode-1N4004 1.0a                                 2
26      ..3      5825-09372-00     #6 solder lug-bent                                2
27      .2       A-15211-1         1 bank drop target assy                           1
28      ..3      03-8750           tgt-flush                                         1
29      ..3      A-14617           brkt & post assy                                  1
30      ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
31      ..3      A-11397           drop tgt stop bkt                                 1
32      ..3      AE1-26-1200       coil assy                                         1
33      ...4     16-8943-30        coil tape 1 3/8 wide                              0
34      ...4     A-22592           small bobbin assy                                 0
35      ....5    03-7041-1         bobbin                                            0
36      ....5    01-14673-1        terminal-coil                                     0
37      ....5    07-6688-17        rivet 5/32X1/8                                    0
38      ....5    01-15016          terminal-coil .25                                 0
39      ...4     5070-09054-00     diode-1N4004 1.0a                                 0
40      ..3      01-8413           brkt coil mtg                                     1
41      ..3      03-7066-4         tubing-coil                                       1
42      ..3      A-11388-2         plunger & reset plate assy                        1
43      ...4     02-3972-1         plunger                                           1
44      ...4     01-10380          plate-sngl target reset                           1
45      ...4     4410-01132-01     nut 10-32 esna/ntm                                1
46      ..3      4700-00072-00     fw .265X.500X.032                                 4
47      ..3      10-392            spring-extension                                  1
48      ..3      20-8712-25        e ring 1/4 shaft                                  2
49      ..3      01-10183          brkt switch                                       1
50      ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                6
