ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
                                                                                      
1       1        50069-PL          star wars-eps I playfield assy                    1
2       .2       A-12753-2         lug & diode assy                                  3
3       ..3      23-6716-2         "tubing-clear 1 1/2"""                            3
4       ..3      5070-09054-00     diode-1N4004 1.0a                                 3
5       ..3      5825-09372-00     #6 solder lug-bent                                3
6       .2       A-15257           brkt & pole piece assy                            1
7       .2       A-15646-4         24 opt psv w/spacers                              1
8       ..3      A-15646           opto sw-24 pcb assy                               1
9       ...4     A-15646-AI        opto sw-24 pcb assy                               0
10      ....5    5768-13243-02     pcb-opto switch 24                                0
11      ....5    5043-10893-00     cap .0015mfd 50v axial                            0
12      ....5    5043-09065-00     cap 470P 50V +/-20 axial                          0
13      ....5    5043-08996-00     cap 0.1UF 50v +/-20 axial Z5U                     0
14      ....5    5041-10588-00     cap 6.8 mfd 25v 20%                               0
15      ....5    5043-08980-00     cap 0.01m 50v +80-20 axial                        0
16      ....5    5048-12577-00     cap .47 50V AXIAL                                 0
17      ....5    5048-11031-00     cap .001m 50V 10% axial                           0
18      ....5    5070-09054-00     diode-1N4004 1.0a                                 0
19      ....5    5010-08997-00     res 2.7k 1/4w 5%                                  0
20      ....5    5010-09162-00     res 100k 1/4w 5%                                  0
21      ....5    5010-09768-00     res 180 1/4W 5%                                   0
22      ....5    5010-09039-00     res 10 1/4w 5%                                    0
23      ....5    5010-09324-00     res 27k 1/4w 5%                                   0
24      ....5    5010-08930-00     res 470 ohm 1/2W 5%                               0
25      ....5    5010-13509-00     res 330 1/2w 5%                                   0
26      ....5    5010-09034-00     res 10k 1/4w 5%                                   0
27      ....5    5010-10022-00     res 7.5k 1/4w 5%                                  0
28      ....5    5010-08773-00     res 18K 1/4W 5%                                   0
29      ....5    5010-09085-00     res 1.5k 1/4w 5%                                  0
30      ....5    5010-10257-00     res 75k 1/4w 5%                                   0
31      ....5    5010-09534-00     res 0ohm 0w                                       0
32      ...4     5370-10891-00     ic opto receiver amp                              0
33      ...4     5490-10892-00     ic opto isolator 4N25                             0
34      ...4     5431-10449-00     ic 555 timer                                      0
35      ...4     5192-13591-00     trans MPSA64 pnp                                  0
36      ...4     5040-10974-00     cap 100M 35V radial                               0
37      ...4     5671-13732-00     led dspl red                                      0
38      ...4     5791-12273-03     3h str sq lck .156                                0
39      ...4     5791-12273-02     2h str sq lck .156                                0
40      ...4     5791-12273-05     5h str sq lk .156                                 0
41      ...4     5551-10890-00     ind 10uh 90ma 5%                                  0
42      ...4     16-8850-426       label-pcb asy id A-15646                          0
43      ..3      03-9255-3         spacer #8 x .541                                  4
44      .2       A-17799-3         sta tgt-frnt mtg95 rnd op-purp                    2
45      ..3      06-1-14           blade-contact                                     2
46      ..3      06-13G-14         blade-contact                                     2
47      ..3      01-12346          brkt switch mtg 95degree red                      2
48      ..3      01-8657           brkt stop                                         2
49      ..3      01-916-H          "spacer- 3/32"""                                  2
50      ..3      01-916-S          "spacer-tight 1/16"""                             4
51      ..3      01-916-T          "spacer- 1/32"""                                  2
52      ..3      01-3670           plate-switch curved                               2
53      ..3      03-7007-6         "tubing-3/8"""                                    4
54      ..3      03-8093-3         "tgt 1"" round opq-purple"                        2
55      ..3      06-20-20          blade-back up                                     4
56      ..3      06-73-2           blade-insulator                                   2
57      ..3      07-6688-27        rivet 9/16X1/8                                    4
58      ..3      07-6697-4         rivet .125X.187x.218 zinc                         2
59      ..3      4700-00003-00     fw .125X.281X.032                                 2
60      ..3      23-6534-9         rubber protector 3/8                              2
61      ..3      5070-09054-00     diode-1N4004 1.0a                                 2
62      ..3      06-1F-14          blade-contact                                     4
63      ..3      5860-09374-00     cp prec met 7309fs                                4
64      .2       A-17811           kicker assy-sling shot                            2
65      ..3      A-12664           crank assy                                        2
66      ..3      A-17810           kicker mtg brkt assy                              2
67      ..3      12-6227           clip-hair pin                                     4
68      ..3      4700-00030-00     fw .265X.500X.067                                 2
69      ..3      03-8085           armature link                                     2
70      ..3      02-2364           plunger-coil                                      2
71      ..3      20-8716-5         pin roll 1/8 x 7/16                               2
